rating,title,text
5.0,"I Love This Keyboard, But...","...if you don't have a wrist rest or pad already, I highly recommend that you get one at the same time you get this keyboard. I was introduced to the chiclet- or scissor-style keyboard because of using one at work (using an Apple wired keyboard with an Intel Mac), and I have to say that I prefer it in every way to the more traditional keyboards. It is much quieter, and, for me, the feedback is pleasant. One thing I did not take into account, though, is that I had a wrist rest at work. So when I got this keyboard for home use and started using it, I loved it immediately--until the day I used it for hours on end. Then--ouch! My wrists began to ache.<br /><br />Overall, this is a great keyboard. It connected to my computer without a problem, and the only lag in keystrokes I have experienced has been when the computer had just been &#34;awakened&#34; from sleep mode. For reasons I will not go into here, I am using this keyboard with a laptop: the laptop keyboard's lights indicate whether or not I have Caps Lock or Num Lock engaged on the wireless keyboard. I understand that won't help people  using this keyboard with a desktop computer, but thought I'd put it out there anyway.<br /><br />My conclusion: if you're a fan of the scissor-style keyboard and you have or are willing to invest in a wrist rest, you will enjoy this keyboard."
5.0,Fun gadget,"I like this watch for its customizable watch face, that I can see and answer text without having to pull out my phone, that maps is on my wrist which is very convenient, that setting a timer is crazy easy, that I can use it as a remote for the camera on my phone, that I can run my heart rate if needed,  that it tracks my exercise or walking, etc. It’s a gadget and I like it. I don’t mind the band though I will probably replace it as some point."
5.0,Good cord,"Works well, no complaints."
5.0,I really like the cameras,"I really like the cameras. The software is not easy for the novice, but they have a great staff that will help you all the way."
5.0,Superb value.,"Bought it on sale due to ratings and glad I did. Not a gamer so much of it is lost on me but good precision on movement, clicks and scrolls."
1.0,Not loud enough,Not loud enough
1.0,Only works with,Even Apple does not tell you that their adaptors ONLY work with their 3 ring headphones. They do not work with normal 2 ring headphones. Sure would be helpful to let this important info be known.
5.0,Durable and great price,[[VIDEOID:e1deb0e19227c09b3ee6dc2245cdf1ac]] Zip ties are great to have in bulk.  Super handy to have for random things - I attached string lights to my gazebo using these very easily!<br /><br />These are sturdy and easy to use - can’t complain at all
4.0,Four Stars,good hdmi cable. All tho I had to sign for the package.
5.0,4K Firestick remote not working after 3 months,I have only had this fire stick in my living room since February 5 and the remote has stopped working. I went through all the troubleshooting and still cannot get it to work. I swapped out the fire stick I have in my guestroom and it is working fine in the living room. I’m very disappointed and can’t find the appropriate place to return.
4.0,Works for basic use,"I like the color, that it fits well and works well. I don’t think it would hold up to a kid using it. Also the inside of the door cover is ‘velvety’ which is good since it goes against the screen, but that velvet is also face down when you have the case in the propped up position, so it gets dirty. Not a big deal, but looks really dirty quickly."
5.0,Useful,This headset is useful. I can speak a lot quicker than type. It really helped my productivity. It worked okay. It was convenient to use. It was comfortable to wear. I would recommend it.
4.0,MIssing standoff or screws.,"The board only come with 2 tiny small screws for your ssd.<br />The screws and standoffs for motherboard are not there. Other than that, it is working fine so far."
4.0,Four Stars,Sounds Pretty Good (better than my more expensive Speaker) & was a Great Deal around Black Friday for ~$20-Delivered...
5.0,Works well,"Exactly what I needed.  And now when I have other cables I need, I have adapters.  Perfect."
5.0,Winner,Really nice product and great price. I bought this for my boyfriend who had a really big interview coming up. The briefcase looks like money. Very functional as well. Really nice leather. Not disappointed. Now he can walk into the interview looking and feeling like a winner.
5.0,Super Good Quality!!,We bought these for our Bug Out Bags! Very well made! Buy a small Bic Lighter to fit in the slot specifically for the Small Bic Lighter! I highly recommend this! Very good quality!
5.0,Great fit and protection,Son loves this for his Dell laptop.  Everything is protected and has its place.
5.0,"Flexible and stable, Used with iPad mini",We purchased the stand because my son had a surgery and would not be able to use his hands for a while.  After 5 weeks we are 100% satisfied with it and can only recommend it.
5.0,Easy install and works great,Would buy again
5.0,works great with my HP laser printer,"These labels work great with my HP laser printer. The printed labels are much more durable and fade-resistant than regular paper labels. These are great for high-wear areas and outdoors. Price is about $1 per sheet, which is not bad for durable labels of this size."
5.0,good deal,just want i need
5.0,Blown Away,"I went a little crazy during the last Steam sale and thought this would enhance my game play. I've never used a curved monitor before, and it completely changed my immersion level. The refresh is great even at standard - you can opt for quicker but I dont have the needed cable.<br /><br />Overall I'm so glad I got this monitor. I want to re-play games just to see the difference!"
4.0,External speaker,Good audio
5.0,"If You Told Me A Black Briefcase Would Make A Teen Girl Squeal , I Would Not Have Believed You","When I ordered this case, I expected it to be the usual.  I would open it, use it, review it and then put it among my other storage bags which I find very handy for my growing collection of electronic devices and other gear that goes along with it.  Then my daughter saw it.  The squeal was confusing as she snapped it up and ran with it.  Why?<br /><br />WHAT IS THIS LIKE?<br />I have to say, once I pried it out of her grabby hands after she returned from a weekend at a friend's house, I am really impressed by this bag.  I think she thought I was going to take it back because she kept hiding it on me!<br /><br />CONSTRUCTION<br />This is VERY well made.  All edges have reinforcement of cording on them to avoid seams pulling out.<br /><br />FABRIC<br />The fabric is very tough nylon.  It is sturdy<br /><br />COMPARTMENTS/POCKETS<br />There are pockets and storage galore in this thing.<br /><br />FRONT<br />It has a flap on it that vecros shut with lining.<br /><br />NEXT POCKET<br />Is a half sized compartment with room for pens and pencils and phone pocket.<br /><br />CENTER<br />The center is divided by a padded divider.  There are pockets for cords, mouse, and other things, as well as padding for laptop and tablet if you choose to put them in there.<br /><br />FILE POCKET<br />This is perfect for filing paperwork and manuals, etc.  There is a divided section which would be great for invoices and then paid ones, etc.<br /><br />OUTSIDE POCKET<br />Another zipper pocket with lots of room for books or papers<br /><br />HANDLES<br />The short handles are covered for easy holding so that the straps don't press into your hand.<br /><br />LONG STRAP<br />The long strap is perfect for shoulder carrying especially if you have luggage to attend to as well.  The long strap does clip off if you choose to do so.<br /><br />THE BOTTOM LINE<br />This is one of the nicest carry bags I have ever seen.  There is SO much room for organizing and running business or study with this bag.  It looks professional or would fit with students as well.<br /><br />MY RATING<br />FIVE STARS.  This is such a nice case, a few other people who saw it have also ordered one.  I think I might have to since my daughter is NOT parting with this one!."
1.0,THIS CAME COMPLETE WITH A VIRUS,"i INSTALLED THIS PLAYER then installed the software that came with it and that software came with a virus that destroyed my new $1000 laptop!  AVOID THIS PLAYER!!!  or at least, dont download the software!"
5.0,Works great,Works well
3.0,"Nice monitor, wish it came with a battery...And an HDMI cable that fit my Nikon","Nice monitor, wish it came with a battery. I thought I could use one of my USB power bricks but it only batteries or AC power brick or batteries. Had to order a couple batteries and a charger for at an additional $40. UPDATE..took away another star because now I find the supplied HDMI cable does NOT fit my Nikon. Another $15 to get one that does. Now my $100 monitor is up to $155!"
4.0,Perfect!,"My son has a small record player and about a dozen albums. He and my husband put this together rather quickly. The directions were clear. They did use their own tools. It's sturdy and it looks great! It's a huge improvement over the small end table that he was using. Not only does it look better, but it has a place to store his albums. I think he'll actually listen to more records now because it's so convenient."
5.0,Very exciting,I would rate this product a ten
5.0,Fantastic Camera,This camera was perfect for what I needed until I gave up photography.
1.0,I didn't use it sent it back,I decided not to use it so I sent it back and I wanted a cheaper one from another company
5.0,Yay! Worked out of the box!,I know that this doesn't work for everyone so here's the facts:<br />Using it for 2 weeks so far. Connects every time. Stays connected.<br />Connects to Samsung Galaxy S9<br />Using in 2023 Mazda 3 premium-sits inside the center console (kinda hangs there)
3.0,Three Stars,Ok
5.0,Perfect size for my Acer Predator PT515-52,"From time to time my Acer Predator will freeze in games if the bottom vent isn't getting air and it overheats.  Since this only happens when laying in bed, the various sheets, blankets, or whatever beneath are likely to blame.  I've tried other ""coolers"", but they created as many problems as they solved, and a simple flat board outperformed them.<br />'<br />This cooler works great!  It's just barely big enough for the 15"" gaming laptop.  This essentially means that the only dimension that changed was height.  Speaking of, the tilt mechanism is uber sturdy, and the front lip extension keeps it from sliding off.  Both are modest touches, but appreciated nonetheless.  These features alone likely did the trick, but the two large fans likely don't hurt.  They won't push air into the PC as much as make air available for a more potent fan in your PC.  The lights are ok.<br /><br />I recommend this model, as it's not too big/bulky, has a handy/sturdy tilt, and a lip that raises to help with that tilt."
5.0,Plenty of space and it looks good too.,Case held everything very well. Plenty of space and it looks good too.
1.0,Will not buy again,Will not buy again
1.0,Doesn't work!,"This was a Christmas present and of course the boxes are long gone now, so there's no returning it. A cheap piece of crap that will end up in the dump. I followed the directions exactly and can not understand how a turntable does not work!"
5.0,Best Antenna,"I needed an antenna for my Onkyo home amplifier, I wanted to be able to pickup local FM channels.  I live in the mountains so I needed an antenna that would pickup a weak signal.  It works great, I’m very happy.  The antenna looks good but I set it behind my TV so I can’t even see it.  I’m very happy."
5.0,"Buy it , read, be one of the smart people.",I love that you can look up definitions by just pressing down on any word on the page. Holds a charge forever. Very easy to read the print.<br />Remembers where I left off on all my devices. Very nice reader
1.0,Camera,The camera has great day time pictures. The motion detector is very low. You have to walk right up to it before it will show movement. The nighttime is very grainy.
5.0,I love it,It allows your iPad to stand up tall and has groves to keep it there
5.0,"Great To Have for Taxes, Business, and School Use","This keyboard is COOL- that was what my teen daughter said to me as soon as she came back with it and her evaluation.  I did not even know she had taken it!  Let's take a look..<br /><br />WHAT IS THIS KEYBOARD LIKE?<br />This numerical keyboard is great if you have a laptop or keyboard with a frustrating numerical option.  The keyboard is nice and big- but not so big that you can not fit it anywhere near the laptop or desktop.  It has raised keys with excellent spring to them.  The keys have a great bright backlight for using in subdued lighting.  It also has the ability to change the lighting if you like.<br /><br />PLUG IN?<br />This is plug and play.  We tried it on laptops and desktops and it worked great on all of them.<br /><br />EASY TO USE?<br />You can use the function key to change to a wide variety of options using mathematical symbols and currency too.  The keys are very easy to press and the spring it has makes it adaptable to fast figures of lots of numbers.<br /><br />BRING UP CALCULATOR<br />There are gray keys which allow you to choose what function at a glance you want to do.  Just press the function key and the gray key you want and BAM- there it is.  You can even bring up the calculator using this method.  It is VERY handy.<br /><br />DIFFERENT LIGHTING<br />You can have continual lighting, breathing lighting, responsive lighting, and turn the lighting off.  You can also use the NUM key to disable it like you do with your keyboard.<br /><br />HOW DOES IT PLUG IN?<br />This uses USB and has a USB to mini USB cord that comes with it for plugging in.<br /><br />CAN YOU USE THIS AND LEAVE YOUR KEYBOARD PLUGGED IN?<br />Yes, I can use both simultaneously if I want- although I am not sure why I would want to.<br /><br />THE BOTTOM LINE<br />This is a very handy numerical pad to have.  It makes tax time easy!  We also found it helpful for schoolwork and also for doing business figures.  It is easy to use and the keys are wonderful for fast tallies.<br /><br />MY RATING<br />FIVE STARS.  We all love this and use it often.  We especially like it because it enables us to use any laptop or desktop for FAST figures and processing a lot of numbers.  The function keys are great too."
5.0,The Deception,"The device works fine with the apps that are intended for it.<br /><br />The cover of this product shows a lot of popular apps that are supported, the deception is that other popular apps could also be supported because of this, which is not the case.<br /><br />You can't play pokemon go on this device, even if you install externals packages to support it, I couldn't get the device's location services to detect my phone's tethered GPS using native hot spot or GPS tethering apps.<br /><br />Save yourself some time if you want to use this for Pokemon Go.  Buy it if you are drawn to the specific things featured on the cover (lots of other apps are supported)."
5.0,Well worth the price,"This product is great for two things. For a standard off camera flash, hot shoe or PC cord connection, I've used it for both. This model does not do high speed sync but I use it with an older manual flash unit and it worked great. I use Nikon and the included cords allow me to connect it as a remote trigger on both the D300 and D7100 which is a very cool extra feature. It's an amazing product for the price."
5.0,must have,love the way it takes the glare off and ease of application. Wish they would make some for my 16 in lap top
5.0,For recording video,I've purchased these memory cards from SanDisk before and they have worked well. My family gave me a drone (HS-710) for Christmas and it uses 32GB memory cards. These are fine for that sort of use. I'm satisfied with my purchase.
